name,brand,sale,processor_type,processor,fab,ram_type,rom_type,display_type,size,curved_display,refresh_rate,hbm,protection,ppi,battery,charging_speed,thickness,back_material,frame_material,weight,launch_date,camera_number,useful_camera_number,main,camera_sensor_name,ultrawide,third,third_mp,fourth,fourth_mp,rear_video,front,front_video,colors,antutu,geekbench_single,geekbench_multiple,speaker,wireless_charging,ip_rating,price
Redmi Note 14,Xiaomi,Offline,Mediatek,Dimensity 7025,6,LPDDR4X,UFS 2.2,Amoled,6.67,0,120,1200,"Corning, GG 5",395,5110,45,8,Plastic,Plastic,190,09-12-2024,3,2,108,Samsung,8,Useless,2,,,"1, 30",20,"1, 30",3,463129,948,2258,Stereo,0,64,19000
Redmi Note 14 Pro,Xiaomi,Offline,Mediatek,Dimensity 7300,4,LPDDR4X,UFS 2.2,Amoled,6.67,1,120,1200,"Corning, GG Victus 2",446,5500,45,8.5,Plastic,Plastic,190,09-12-2024,3,2,50,Sony LYT 600,8,Useless,2,,,"4, 30",20,"1, 60",4,636846,1031,2919,Stereo,0,68,25000
Redmi Note 14 Pro+,Xiaomi,Offline,Snapdragon,7s Gen 3,4,LPDDR4X,UFS 2.2,Amoled,6.67,1,120,1200,"Corning, GG Victus 2",446,6200,90,8.8,Glass,Plastic,210,09-12-2024,3,3,50,Omnivision Light Hunter 800,8,Telephoto - 2.5x,50,,,"4, 30",20,"1, 60",4,725812,1168,3234,Stereo,0,68,31000
Redmi Note 15,Xiaomi,Offline,Snapdragon,6 Gen 3,4,LPDDR4X,UFS 2.2,Amoled,6.77,1,120,,,388,5520,45,7.35,Plastic,Plastic,178,06-01-2026,2,2,108,,8,,,,,"4, 30",20,"1, 30",3,597923,1020,2853,Stereo,0,66,27000
Redmi Note 15 Pro,Xiaomi,Offline,Mediatek,Dimensity 7400,4,LPDDR4X,UFS 2.2,Amoled,6.83,0,120,1900,"Corning, GG Victus 2",447,6580,45,8,Plastic,Plastic,210,29-01-2026,2,2,200,Samsung HPE,8,,,,,"4, 30",20,"1, 60",3,778000,1043,2913,Stereo,0,69,32000
Redmi Note 15 Pro+,Xiaomi,Offline,Snapdragon,7s Gen 4,4,LPDDR4X,UFS 2.2,Amoled,6.83,1,120,,"Corning, GG Victus 2",447,6500,100,8.5,Plastic,Plastic,207,29-01-2026,2,2,200,Samsung HPE,8,,,,,"4, 30",32,"1, 60",3,817755,1241,3228,Stereo,0,69,40000
Redmi Note 15 SE,Xiaomi,Both,Snapdragon,6 Gen 3,4,LPDDR4X,UFS 2.2,Amoled,6.77,1,120,,,388,5800,45,7.35,Plastic,Plastic,178,03-02-2026,2,1,50,,,Useless,2,,,"4, 30",20,"1, 30",3,597923,1020,2853,Stereo,0,66,23000
Redmi Turbo 5,Xiaomi,Online,Mediatek,Dimensity 8500,4,LPDDR5X,UFS 4.1,Amoled,6.59,0,120,2000,"Corning, GG 7i",460,7540,100,8.2,Glass,Aluminium,205,16-06-2026,2,2,50,Sony IMX 882,8,,,,,"4, 60",20,"1, 60",3,2133558,1708,6686,Stereo,0,69,38000
Tecno Pop X,Tecno,Offline,Mediatek,Dimensity 6400,6,LPDDR4X,UFS 2.2,IPS LCD,6.78,0,120,560,,256,6500,45,8.2,Plastic,Plastic,210,20-04-2026,1,1,13,,,,,,,"1, 30",8,"1, 30",4,521017,789,2029,Mono,0,64,16000
Tecno Pova 7,Tecno,Both,Mediatek,Dimensity 7300,4,LPDDR4X,UFS 2.2,IPS LCD,6.78,0,144,900,,396,6000,45,8.9,Plastic,Plastic,205,04-07-2025,2,2,50,,8,,,,,"4, 30",13,"1, 30",3,675148,934,2582,Stereo,0,64,15000
Tecno Pova 7 Pro,Tecno,Both,Mediatek,Dimensity 7300,4,LPDDR5,UFS 2.2,Amoled,6.78,0,144,,"Corning, GG 7i",440,6000,45,8.2,Plastic,Plastic,195,04-07-2025,2,1,64,Sony IMX 682,,Useless,2,,,"4, 30",13,"1, 30",3,700234,1055,3087,Stereo,1,64,19000
Tecno Pova 8,Tecno,Both,Mediatek,Dimensity 7100,6,LPDDR5X,UFS 2.2,IPS LCD,6.76,0,144,950,"Corning, GG 7i",380,8000,45,8.8,Plastic,Plastic,225,11-06-2026,2,1,50,Sony LYT 600,,Useless,2,,,"2, 30",13,"2, 30",3,768617,974,2750,Stereo,0,64,30000
Tecno Pova Curve,Tecno,Both,Mediatek,Dimensity 7300,4,LPDDR5,UFS 2.2,Amoled,6.78,1,144,,"Corning, GG 5",393,5500,45,7.5,Plastic,Plastic,175,29-05-2025,2,1,64,Sony IMX 682,,Useless,2,,,"4, 30",13,"4, 30",3,673166,1010,3085,Stereo,0,64,16000
Tecno Pova Curve 2,Tecno,Both,Mediatek,Dimensity 7100,6,LPDDR5X,UFS 2.2,Amoled,6.78,1,144,,"Corning, GG 7i",429,8000,45,7.4,Plastic,Plastic,195,13-02-2026,2,1,50,,,Useless,2,,,"2, 30",13,"2, 30",3,768617,974,2750,Mono,0,64,28000
Tecno Pova Slim,Tecno,Both,Mediatek,Dimensity 6400,6,LPDDR4X,UFS 2.2,Amoled,6.78,1,144,,"Corning, GG 7i",440,5160,45,5.95,Plastic,Plastic,156,04-09-2025,2,1,50,,,Useless,2,,,"2, 30",13,"1, 30",3,459998,768,1981,Mono,0,64,20000
Tecno Spark 50,Tecno,Offline,Mediatek,Dimensity 6400,6,LPDDR4X,UFS 2.2,IPS LCD,6.78,0,120,560,,256,6500,45,8.2,Plastic,Plastic,210,27-03-2026,1,1,50,,,,,,,"1, 30",8,"1, 30",4,521017,789,2029,Mono,0,64,17000
Vivo T4,Vivo,Online,Snapdragon,7s Gen 3,4,LPDDR4X,UFS 2.2,Amoled,6.77,1,120,1300,"Schott Xensation,",388,7300,90,7.89,Plastic,Plastic,199,22-04-2025,2,1,50,Sony IMX 882,,Useless,2,,,"4, 30",32,"4, 30",2,817797,1178,4089,Mono,0,65,25000
Vivo T4 Lite,Vivo,Online,Mediatek,Dimensity 6300,6,LPDDR4X,UFS 2.2,IPS LCD,6.74,0,90,1000,,260,6000,15,8.1,Plastic,Plastic,205,24-06-2025,2,1,50,Sony,,Useless,2,,,"1, 30",5,"1, 30",2,436326,789,2024,Mono,0,64,17000
Vivo T4 Pro,Vivo,Online,Snapdragon,7 Gen 4,4,LPDDR4X,UFS 2.2,Amoled,6.77,1,120,1500,Diamond Shield Glass,388,6500,90,7.5,Plastic,Plastic,192,26-08-2025,3,2,50,Sony IMX 882,,Telephoto - 3x,50,Useless,2,"4, 30",32,"4, 30",2,1021716,1261,3641,Stereo,0,69,28000
Vivo T4 Ultra,Vivo,Online,Mediatek,Dimensity 9300+,4,LPDDR5,UFS 3.1,Amoled,6.67,1,120,1600,"Shield Glass, ",460,5500,90,7.5,Glass,Plastic,192,11-07-2025,3,3,50,Sony IMX 921,8,Telephoto - 3x,50,,,"4, 60",32,"4, 60",2,1945481,2238,7101,Stereo,0,64,38000
Vivo T4R,Vivo,Online,Mediatek,Dimensity 7400,4,LPDDR4X,UFS 2.2,Amoled,6.77,1,120,1300,"Schott Xensation,",387,5700,45,7.4,Plastic,Plastic,184,31-07-2025,2,1,50,Sony IMX 882,,Useless,2,,,"4, 30",32,"4, 30",2,703123,1033,2989,Stereo,0,69,23000
Vivo T4x,Vivo,Online,Mediatek,Dimensity 7300,4,LPDDR4X,UFS 3.1,IPS LCD,6.72,0,120,1050,"Panda Glass, ",393,6500,44,8.1,Plastic,Plastic,204,05-03-2025,2,1,50,Sony IMX 882,,Useless,2,,,"4, 30",8,"1, 30",2,696062,1029,2831,Stereo,0,64,17000
Vivo T5 Pro,Vivo,Online,Snapdragon,7s Gen 4,4,LPDDR4X,UFS 3.1,Amoled,6.83,0,144,2000,,450,9020,90,8.3,Plastic,Plastic,214,15-04-2026,2,1,50,Sony IMX 882,,Useless,2,,,"4, 30",32,"4, 30",2,1167329,1214,3146,Stereo,0,69,36000
Vivo T5x,Vivo,Online,Mediatek,Dimensity 7400,4,LPDDR4X,UFS 3.1,IPS LCD,6.76,0,120,1200,Titan Glass,382,7200,44,8.4,Plastic,Plastic,219,17-03-2026,2,1,50,Sony IMX 852,,Useless,2,,,"4, 30",32,"4, 30",2,951584,1057,2704,Stereo,0,69,28000
Vivo V50,Vivo,Offline,Snapdragon,7 Gen 3,4,LPDDR4X,UFS 2.2,Amoled,6.77,1,120,1300,"Schott Xensation, Alpha",388,6000,90,7.5,Glass,Plastic,199,17-02-2025,2,2,50,Omnivision OV50E,50,,,,,"4, 30",50,"4, 30",3,806071,1178,3136,Stereo,0,69,35000
Vivo V60,Vivo,Offline,Snapdragon,7 Gen 4,4,LPDDR4X,UFS 2.2,Amoled,6.77,1,120,1500,"Schott Xensation, Core",388,6500,90,7.5,Glass,Plastic,199,12-08-2025,3,3,50,Sony IMX 766,8,Telephoto - 3x,50,,,"4, 30",50,"4, 30",3,983301,1255,3562,Stereo,0,69,37000
Vivo V60e,Vivo,Offline,Mediatek,Dimensity 7360,4,LPDDR4X,UFS 2.2,Amoled,6.77,1,120,1600,Diamond Shield Glass,388,6500,90,7.5,Plastic,Plastic,190,07-10-2025,2,2,200,Samsung,8,,,,,"4, 30",50,"1, 30",2,882692,993,2804,Stereo,0,69,30000
Vivo V70,Vivo,Offline,Snapdragon,7 Gen 4,4,LPDDR5X,UFS 4.1,Amoled,6.59,0,120,1800,"Schott Xensation, Core",459,6500,90,7.6,Glass,Aluminium,194,19-02-2026,3,3,50,Sony LYT 700,8,Telephoto - 3x,50,,,"4, 60",50,"4, 30",2,1437195,1314,3920,Stereo,0,69,54000
Vivo V70 Elite,Vivo,Offline,Snapdragon,8s Gen 3,4,LPDDR5X,UFS 4.1,Amoled,6.59,0,120,1800,"Schott Xensation, Core",459,6500,90,7.6,Glass,Aluminium,194,19-02-2026,3,3,50,Sony LYT 700,8,Telephoto - 3x,50,,,"4, 60",50,"4, 30",3,1810321,1953,4880,Stereo,0,69,59000
Vivo V70 FE,Vivo,Offline,Mediatek,Dimensity 7360,4,LPDDR5,UFS 3.1,Amoled,6.83,0,120,1900,,449,7000,90,7.7,Plastic,Plastic,202,02-04-2026,2,2,200,Samsung HP5,8,,,,,"4, 30",50,"4, 30",2,990352,1023,3035,Stereo,0,69,38000
Vivo X200,Vivo,Flagship,Mediatek,Dimensity 9400,3,LPDDR5X,UFS 4.0,Amoled,6.67,1,120,1600,"Schott Xensation, Alpha",460,5800,90,8,Glass,Aluminium,202,14-10-2024,3,3,50,Sony IMX 921,50,Telephoto - 3x,50,,,"4, 60",32,"4, 60",2,2632874,2693,8706,Stereo,0,69,66000
Vivo X200 FE,Vivo,Both,Mediatek,Dimensity 9300+,4,LPDDR5X,UFS 3.1,Amoled,6.31,0,120,1800,"Schott Xensation,",461,6500,90,8,Glass,Aluminium,186,23-07-2025,3,3,50,Sony IMX 921,8,Telephoto - 3x,50,,,"4, 60",50,"4, 60",3,1919065,2087,6808,Stereo,0,69,55000
Vivo X200 Pro,Vivo,Flagship,Mediatek,Dimensity 9400,3,LPDDR5X,UFS 4.0,Amoled,6.78,1,120,1800,"Armor Glass, ",452,6000,90,8.5,Glass,Aluminium,228,14-10-2024,3,3,50,Sony LYT 818,50,Telephoto - 3.7x,200,,,"4, 60",32,"1, 60",2,2545562,2685,7741,Stereo,1,69,95000
Vivo X200T,Vivo,Online,Mediatek,Dimensity 9400+,3,LPDDR5X,UFS 4.1,Amoled,6.67,0,120,1600,"Schott Xensation, Core",460,6200,90,8,Glass,Aluminium,203,27-01-2026,3,3,50,Sony IMX 921,50,Telephoto - 3x,50,,,"4, 60",32,"4, 60",2,2825042,2684,8390,Stereo,1,69,60000
Vivo X300,Vivo,Flagship,Mediatek,Dimensity 9500,3,LPDDR5X,UFS 4.1,Amoled,6.31,0,120,2000,"Schott Xensation, Alpha",460,6040,90,8,Glass,Aluminium,190,02-12-2025,3,3,200,Samsung HPB,50,Telephoto - 3x,50,,,"4, 120",50,"4, 60",3,3416530,3379,10127,Stereo,1,69,76000
Vivo X300 FE,Vivo,Flagship,Snapdragon,8 Gen 5,3,LPDDR5X,UFS 4.1,Amoled,6.31,0,120,1800,"Schott Xensation, Alpha",460,6500,90,8.2,Glass,Aluminium,190,06-05-2026,3,3,50,Sony IMX 921,50,Telephoto - 3x,50,,,"4, 60",50,"4, 60",3,2895309,2701,8180,Stereo,1,69,80000
Vivo X300 Pro,Vivo,Flagship,Mediatek,Dimensity 9500,3,LPDDR5X,UFS 4.1,Amoled,6.78,0,120,2150,"Armor Glass, ",452,6510,90,8,Glass,Aluminium,226,02-12-2025,3,3,50,Sony LYT 828,50,Telephoto - 3.5x,200,,,"4, 120",50,"4, 60",2,3646540,3447,10378,Stereo,1,69,110000
Vivo X300 Ultra,Vivo,Flagship,Snapdragon,8 Elite Gen 5,3,LPDDR5X,UFS 4.1,Amoled,6.82,0,120,1800,,510,6600,100,8.2,Glass,Aluminium,237,06-05-2026,3,3,200,Sony LYT 901,50,Telephoto - 3.7x,50,,,"4, 120",50,"4, 60",2,3955695,3722,11494,Stereo,1,69,160000
Xiaomi 14 ,Xiaomi,Flagship,Snapdragon,8 Gen 3,4,LPDDR5X,UFS 4.0,Amoled,6.36,0,120,1000,"Corning, GG Victus",460,4610,90,8.3,Glass,Aluminium,193,11-03-2024,3,3,50,Omnivision Light Fusion 900,50,Telephoto - 3.2x,50,,,"4, 60",32,"4, 30",3,2003429,2148,6810,Stereo,1,68,70000
